Name	Set	ImageFile	Type	Sous-Type	Cout	Attaque	PVs	Texte
Flammeche	mage		Sort	Feu	1			Inflige 2 points de degats a la cible.
Etudiant en Magie	mage		Creature		2	1	3	Tant que cette creature est en jeu, vos sorts infligent 1 points de degats supplementaires.
Racines d'Yggdrasil	mage		Artefact	Yggdrasil	2			
Feuillage d'Yggdrasil	mage		Artefact	Yggdrasil	2			
Tronc d'Yggdrasil	mage		Artefact	Yggdrasil	2			
Seve d'Yggdrasil	mage		Artefact	Yggdrasil	2			
Fruit d'Yggdrasil	mage		Artefact	Yggdrasil	2			
Yggdrasil, l'Arbre Monde	mage		Sort	Yggdrasil	0			Si vous avez 5 Artefacts differents ayant comme sous-type Yggdrasil en jeu sacrifiez-les, le joueur adverse passe son prochain tour et tout vos sorts infligent 2 points de degats supplementaires.
Choc Mental	mage		Sort		3			Prennez le controle de la creature ciblee pour le tour en cours et vous pouvez attaquer avec.
Professeur des Arcanes	mage		Creature		4	3	4	Rajoutez les deux sorts de votre choix depuis votre defausse a votre main.
Boule de Feu	mage		Sort	Feu	3			Inflige 3 points de degats a la cible.
Chercheur de Midgard	mage		Creature		1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Yggdrasil", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.
Transformation en Oie	mage		Sort		2			Transformez la carte ciblee en Jeton Oie 0/1. Flash. (Peux etre jouee depuis votre main a n'importe quel moment tant que son cout est paye)
Pyromancien	mage		Creature	Feu	1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Feu", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.
Cryomancien	mage		Creature	Glace	1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Glace", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.
Coulee de Lave	mage		Sort	Feu	4			Inflige 2 points de degat a toutes les creatures adverses et leurs proprietaires.
Piege de Givre	mage		Sort	Piege et Glace	3			Au moment ou une creature adverse attaque une cible, vous pouvez decider d'annuler son attaque et de la geler. (Une creature gelee ne peux pas attaquer sur le prochain tour de jeu de son proprietaire)
Stalagmite	mage		Sort	Glace	3			Inflige 2 points de degats a la cible et la gele si c'est une creature. (Une creature gelee ne peux pas attaquer sur le prochain tour de jeu de son proprietaire)
Golem de Givre	mage		Creature	Glace	20	20	20	Coute 1 de moins a jouer pour chaque carte en jeu et chaque carte avec le sous-type "Glace" dans votre main.
Recherche Arcanique	mage		Sort		10			Piochez deux cartes. Coute 1 de moins a jouer pour chaque carte en jeu.
Invocation Enflammee	mage		Sort	Feu	9			Invoquez autant de Jetons 1/1 Engeance de Flamme avec "Tant que cette creature est en jeu, vos sorts infligent 1 points de degats supplementaires." que de cartes avec le sous-type "Feu" dans votre main et en jeu. Coute 1 de moins a jouer pour chaque carte avec le sous-type "Feu" dans votre main.
Invocation Givree	mage		Sort	Glace	9			Invoquez autant de Jetons 1/1 Engeance de Givre avec "Tant que c'est creature est en jeu, a la fin de votre tour vous pouvez choisir une creature adverse et la geler. Si aucune creature adverse ne peux etre gelee, alors detruisez une creature adverse." que de cartes avec le sous-type "Glace" dans votre main et en jeu. Coute 1 de moins a jouer pour chaque carte avec le sous-type "Glace" dans votre main.
Invocation Tellurique	mage		Sort	Terre	9			Invoquez autant de Jetons 1/1 Engeance de Roche avec "Tant que cette creature est en jeu, reduisez les dommages recus de 1." que de cartes avec le sous-type "Terre" dans votre main et en jeu. Coute 1 de moins a jouer pour chaque carte avec le sous-type "Terre" dans votre main.
Geomancien	mage		Creature	Terre	1	1	1	Cherchez dans votre deck une carte ayant le sous-type "Terre", montrez-la a votre adversaire et mettez-la dans votre main, melangez ensuite votre deck.
Invocation de Golem d'Argile	mage		Sort	Terre	2			Invoque un Jeton Golem d'Argile X/X avec "X est egal au nombre de fois que vous avez lance le sort "Invocation de Golem d'Argile" dans la partie. Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature)". Amelioration 5 : remettez ce sort dans votre main. (Vous pouvez payer le cout d'amelioration a la place du cout original pour beneficier de l'effet specifie.) Le cout original et l'amelioration coutent 1 de moins a jouer pour chaque carte avec le sous-type "Terre" dans votre main et en jeu. L'Amelioration ne peux couter que 3 Points de Mana au minimum.
Mur d'Argile	mage		Creature	Terre	20	5	15	Provocation. (Si vous voulez attaquer le joueur adverse ou une creature sans provocation, vous devez en premier lieu vaincre cette creature) Coute 1 de moins a jouer pour chaque carte dans votre main et chaque carte avec le sous-type "Terre" en jeu.
Seisme	mage		Sort	Terre	8			Inflige X points de degat a toutes les creatures adverses et leurs proprietaires, X etant egal au nombre de fois que vous avez lance le sort "Invocation de Golem d'Argile" dans la partie.
